,ArtistId,AlbumId
69,2wpJOPmf1TIOzrB9mzHifd,6kX0sZ1DFl2TE3e7SNJbkV
70,3hv9jJF3adDNsBSIQDqcjp,3vLaOYCNCzngDf8QdBg2V1
71,5WWSL6rElJeUk3Uc1S2RyD,5AMshCv0RIe2aO4XaQWhp4
72,5WWSL6rElJeUk3Uc1S2RyD,5AMshCv0RIe2aO4XaQWhp4
73,4yiQZ8tQPux8cPriYMWUFP,2dhQoUl5mJz1AQXTJkXn2H
74,2FXC3k01G6Gw61bmprjgqS,0Uv83rRhY5QvHKkQoULRKk
75,2jzc5TC5TVFLXQlBNiIUzE,1ER3B6zev5JEAaqhnyyfbf
76,3fMbdgg4jU18AjLCKBhRSm,1C2h7mLntPSeVYciMRTF4a
77,3fMbdgg4jU18AjLCKBhRSm,24TAupSNVWSAHL0R7n71vm
78,3fMbdgg4jU18AjLCKBhRSm,2ANVost0y2y52ema1E9xAZ
79,3fMbdgg4jU18AjLCKBhRSm,1C2h7mLntPSeVYciMRTF4a
80,4vnmifnGOeRXfNTRtgd4Tj,6b8P3pIe2bH7AO9EQOQwk9
81,0GOx72r5AAEKRGQFn3xqXK,4tYyNNlbRGlS6FNphD8mur
82,0GOx72r5AAEKRGQFn3xqXK,5EU9LqPsBwrhq4Iqx0xMVd
83,0GOx72r5AAEKRGQFn3xqXK,4tYyNNlbRGlS6FNphD8mur
84,5j4HeCoUlzhfWtjAfM1acR,6uyslsVGFsHKzdGUosFwBM
85,5j4HeCoUlzhfWtjAfM1acR,6uyslsVGFsHKzdGUosFwBM
86,5j4HeCoUlzhfWtjAfM1acR,6uyslsVGFsHKzdGUosFwBM
87,5j4HeCoUlzhfWtjAfM1acR,6uyslsVGFsHKzdGUosFwBM
88,5j4HeCoUlzhfWtjAfM1acR,6uyslsVGFsHKzdGUosFwBM
89,5j4HeCoUlzhfWtjAfM1acR,6uyslsVGFsHKzdGUosFwBM
90,5j4HeCoUlzhfWtjAfM1acR,6uyslsVGFsHKzdGUosFwBM
91,5j4HeCoUlzhfWtjAfM1acR,4kEbcH3VT6NYfpv8Wkkk80
92,6Tz0QRoe083BcOo2YbG9lV,4uHwcjASOWAKw4P4wveKRb
93,62GoYifV4njTdvS8lD2yYT,7tYuKBe5T0EdlyB9vvkEeV
94,62GoYifV4njTdvS8lD2yYT,3CPy9CKtGs9JRVDZmaIrRP
95,5qEtLvXzYdv0G7c7rR6irX,2WZEYrTuMBIo2rYVcm4WHc
96,4hFBhdNVZZuVk5FYThUwaN,2WZEYrTuMBIo2rYVcm4WHc
97,3ajnX0cwvrpQ5tbryVQyQn,2WZEYrTuMBIo2rYVcm4WHc
98,5qEtLvXzYdv0G7c7rR6irX,2WZEYrTuMBIo2rYVcm4WHc
99,4hFBhdNVZZuVk5FYThUwaN,2WZEYrTuMBIo2rYVcm4WHc
100,3ajnX0cwvrpQ5tbryVQyQn,2WZEYrTuMBIo2rYVcm4WHc
101,5qEtLvXzYdv0G7c7rR6irX,2WZEYrTuMBIo2rYVcm4WHc
102,4hFBhdNVZZuVk5FYThUwaN,2WZEYrTuMBIo2rYVcm4WHc
103,3ajnX0cwvrpQ5tbryVQyQn,2WZEYrTuMBIo2rYVcm4WHc
104,5qEtLvXzYdv0G7c7rR6irX,2WZEYrTuMBIo2rYVcm4WHc
105,4hFBhdNVZZuVk5FYThUwaN,2WZEYrTuMBIo2rYVcm4WHc
106,3ajnX0cwvrpQ5tbryVQyQn,2WZEYrTuMBIo2rYVcm4WHc
107,4hFBhdNVZZuVk5FYThUwaN,4pJT0WKggr4xk149X8A6KC
108,0uq5PttqEjj3IH1bzwcrXF,3x2jF7blR6bFHtk4MccsyJ
109,2ysnwxxNtSgbb9t1m2Ur4j,5RaDlk1pjOFSfcGDurH62z
110,2ysnwxxNtSgbb9t1m2Ur4j,6mcMKGEgukjyiR5IKElQ2E
111,2ysnwxxNtSgbb9t1m2Ur4j,2NaulYO6lGXTyIzWTJvRJj
112,2ysnwxxNtSgbb9t1m2Ur4j,6mcMKGEgukjyiR5IKElQ2E
113,0LcJLqbBmaGUft1e9Mm8HV,1kM6xcSYO5ASJaWgygznL7
114,5lpH0xAS4fVfLkACg9DAuM,6ZJD7uT643TvniNyAk90bd
115,0LcJLqbBmaGUft1e9Mm8HV,1V6a99EbTTIegOhWoPxYI9
116,0LcJLqbBmaGUft1e9Mm8HV,7iLuHJkrb9KHPkMgddYigh
117,1vCWHaC5f2uS3yhpwWbIA6,2H6i2CrWgXE1HookLu8Au0
118,5lpH0xAS4fVfLkACg9DAuM,02f3y3NTsddjdUMoNiBppI
119,5e4Dhzv426EvQe3aDb64jL,4UMe0Ods7kygK6OISasZe9
120,13saZpZnCDWOI9D4IJhp1f,4zZKTqu7DkowQnO9Bcx4KX
121,13saZpZnCDWOI9D4IJhp1f,4zZKTqu7DkowQnO9Bcx4KX
122,13saZpZnCDWOI9D4IJhp1f,5ySBiY0v4b03yw98oRDKtS
123,1HY2Jd0NmPuamShAr6KMms,1X9AFMWRGElyFpySNcyI4x
124,1HY2Jd0NmPuamShAr6KMms,1qwlxZTNLe1jq3b0iidlue
125,1HY2Jd0NmPuamShAr6KMms,6rePArBMb5nLWEaY9aQqL4
126,1HY2Jd0NmPuamShAr6KMms,1qwlxZTNLe1jq3b0iidlue
127,1HY2Jd0NmPuamShAr6KMms,1X9AFMWRGElyFpySNcyI4x
128,6T5tfhQCknKG4UnH90qGnz,3Wv4X8OA65pGpFzBkuUgAh
129,3BmGtnKgCSGYIUhmivXKWX,20jYcJane0oI7VoMNoEOJU
130,3BmGtnKgCSGYIUhmivXKWX,0VmE95pr5TSpZWucfyhO5e
131,6xeFne1rkxMhKSW3ipvkdV,2ww2PXKiHk7rNv26rjVJ5z
132,46lnlnlU0dXTDpoAUmH6Qx,13BmLGhVCLBn3XzKB8HIai
133,7slfeZO9LsJbWgpkIoXBUJ,1k1Cr3nlJDa8pvwZUJ5xfj
134,7xkAwz0bQTGDSbkofyQt3U,3fzHLg5RfRXzQlHlR4F7JG
135,1aX2dmV8XoHYCOQRxjPESG,3ls7tE9D2SIvjTmRuEtsQY
136,7daPb40K64rRtF36wd3ZOk,46VuziW5kL9Hrt5NlJtLjY
137,0LyfQWJT6nXafLPZqxe9Of,46VuziW5kL9Hrt5NlJtLjY
138,3FUY2gzHeIiaesXtOAdB7A,5zseibu9WEsPaZmkJUMkz1
139,3FUY2gzHeIiaesXtOAdB7A,1CwXS6MAz8Wo7K4TzW9iuR
140,3FUY2gzHeIiaesXtOAdB7A,5zseibu9WEsPaZmkJUMkz1
141,0du5cEVh5yTK9QJze8zA0C,6J84szYCnMfzEcvIcfWMFL
142,057gc1fxmJ2vkctjQJ7Tal,2fgCz9kQCDy0miERCy0sCJ
143,0SdiiPkr02EUdekHZJkt58,3StpQT9Qd87FSeWeQAdg1h
144,06HL4z0CvFAxyc27GXpf02,2gP2LMVcIFgVczSJqn340t
145,7GlBOeep6PqTfFi59PTUUN,0XKconI47eiBP6qPYHsx9f
146,3eVa5w3URK5duf6eyVDbu9,2IYQwwgxgOIn7t3iF6ufFD
147,0du5cEVh5yTK9QJze8zA0C,2IYQwwgxgOIn7t3iF6ufFD
148,7GlBOeep6PqTfFi59PTUUN,0EiI8ylL0FmWWpgHVTsZjZ
149,7GlBOeep6PqTfFi59PTUUN,1WAjjRMfZjEXtB0lQrAw6Q
150,7t0rwkOPGlDPEhaOcVtOt9,1Bwo9JkbVwxGyvtQNMRK21
151,2wY79sveU1sp5g7SokKOiI,08jWgM4vSkTose4blKBWov
152,1VBflYyxBhnDc9uVib98rw,2qNh11QcLGcpXX9qXDEuzD
153,2KsP6tYLJlTBvSUxnwlVWa,2V7Z0e4YnXyNfpoK3cYIGp
154,7oPftvlwr6VrsViSDV7fJY,19ObsGobUuBr11M6ysFMug
155,7oPftvlwr6VrsViSDV7fJY,4uG8q3GPuWHQlRbswMIRS6
156,7oPftvlwr6VrsViSDV7fJY,3id4t9IqRoB1f1smOERtrY
157,7oPftvlwr6VrsViSDV7fJY,5dN7F9DV0Qg1XRdIgW8rke
158,3qm84nBOXUEQ2vnTfUTTFC,28yHV3Gdg30AiB8h8em1eW
159,1kMfh3vEY0iWX9SDVjvdsd,3RhyUw9EciePIQ8hapCIC5
160,17UkABEasVRlCcIFZ3wHb7,4SHxRDZ1isIdrxfunwZ9vD
161,17UkABEasVRlCcIFZ3wHb7,0LLP9HeDd489SxAGAaRYIq
162,6tbjWDEIzxoDsBA1FuhfPW,43lok9zd7BW5CoYkXZs7S0
163,6tbjWDEIzxoDsBA1FuhfPW,43lok9zd7BW5CoYkXZs7S0
164,0NKDgy9j66h3DLnN8qu1bB,5jNDWA19BJbE24x1UUJGRY
165,5MspMQqdVbdwP6ax3GXqum,5jNDWA19BJbE24x1UUJGRY
