,external_urls,href,type,uri,id
0,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,0GO8y8jQk1PkHzS31d699N
1,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,6kcHg7XL6SKyPNd78daRBL
2,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,5FYRDy9dLVi2uTa8httrVk
3,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,42kiFUenq5MVKpmCwjh1Cu
4,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,4JHg4nNYUJQ5HULcCmI18R
5,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,75D3n6wnFQmu1HVmLAlWM4
6,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,221eHga9f9Ne4f8D7WVgPT
7,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,69h2mpzNUmdEg5egeNa1ki
8,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,7H5WVBQdSnJ1zmu8JoD6pg
9,,,,,30VrBsh1STRBoIrhQOAwzK
10,,,,,6CltzquypraYIlWFp48m1O
11,,,,,0GO8y8jQk1PkHzS31d699N
12,,,,,3aAuIvgJGdp4wWd60riWfB
13,,,,,27L8sESb3KR79asDUBu8nW
14,,,,,27L8sESb3KR79asDUBu8nW
15,,,,,7ne4VBA60CxGM75vw0EYad
0,https://open.spotify.com/album/18fOLsMG8Msf1DEaW0E71K,https://api.spotify.com/v1/albums/18fOLsMG8Msf1DEaW0E71K,album,spotify:album:18fOLsMG8Msf1DEaW0E71K,7HKxTNVlkHsfMLhigmhC0I
1,,,,,4Mpm64J9yqluKaOssgVQ9P
2,,,,,3djM6J9fMI8g97bnPkTvLE
3,,,,,7K0WZ75nHqj450OYd3ZywF
4,,,,,6zX1KUQdh0uo32R8nL5Bf5
5,,,,,3oBwbMoHAPq5ZVLy8Tscoj
6,,,,,39GErxUCYSADr68xdqKoVy
7,,,,,3J5Y7xgF26vz8Gn4FP8MDV
0,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,1jJci4qxiYcOHhQR247rEU
1,https://open.spotify.com/playlist/1w0tdnTgUAeKMS060b6EAR,https://api.spotify.com/v1/playlists/1w0tdnTgUAeKMS060b6EAR,playlist,spotify:playlist:1w0tdnTgUAeKMS060b6EAR,6CltzquypraYIlWFp48m1O
