,ArtistId,SongId
69,68EB3QvNdVLkC7SAgDbHIR,6kFPBOtSOIlrleJNkZ6ESF
70,5qiLLUOcfPrzP1P1vHcgnS,448LJjerQIqPjWNLWAVNSR
71,69ftfICho7bWPjTg6EgHr4,448LJjerQIqPjWNLWAVNSR
72,2feDdbD5araYcm6JhFHHw7,3SxiAdI8dP9AaaEz1Z24mn
73,0Tob4H0FLtEONHU1MjpUEp,3SxiAdI8dP9AaaEz1Z24mn
74,1yxSLGMDHlW21z4YXirZDS,72np30cEzvqzxAUG5mrhyT
75,1BEUkE2CSUgHTLSBMZdnFB,7J6ZI2YKLJ8DUY2XFREHvL
76,6FBDaR13swtiWwGhX1WQsP,2m1hi0nfMR9vdGC8UcrnwU
77,5zzrJD2jXrE9dZ1AklRFcL,5p9XWUdvbUzmPCukOmwoU3
78,4kI8Ie27vjvonwaB2ePh8T,6QgjcU0zLnzq5OrUoSZ3OK
79,1moxjboGR7GNWYIMWsRjgG,7zzwX70dpGNS4YnfcWqBmE
80,2NhdGz9EDv2FeUw6udu2g1,4i1yHB5Q9PhtWlWCplG3u5
81,7CajNmpbOovFoOoasH2HaY,7MmG8p0F9N3C4AXdK6o6Eb
82,0X2BH1fck6amBIoJhDVmmJ,7MmG8p0F9N3C4AXdK6o6Eb
83,7CajNmpbOovFoOoasH2HaY,0azC730Exh71aQlOt9Zj3y
84,5pKCCKE2ajJHZ9KAiaK11H,0azC730Exh71aQlOt9Zj3y
85,2NhdGz9EDv2FeUw6udu2g1,5ZndIlfBM43CegOSMwAMc9
86,2YNsq8GNCQdXpFmoMbVEat,3NLhkmfRnODa0Y0aNABHHy
87,3oDbviiivRWhXwIE8hxkVV,3mXexrmtPJ1KdWN37rYePx
88,3oDbviiivRWhXwIE8hxkVV,2EPr9Wx7e1cpGEbNAtuN7x
89,3YQKmKGau1PzlVlkL1iodx,6i0V12jOa3mr6uu4WYhUBr
90,7G1GBhoKtEPnP86X2PvEYO,6Rqn2GFlmvmV4w9Ala0I1e
91,6vWDO969PvNqNYHIOW5v0m,557un1HgwYMuqfWGSTmnxw
92,6vWDO969PvNqNYHIOW5v0m,2CvOqDpQIMw69cCzWqr5yr
93,5pKCCKE2ajJHZ9KAiaK11H,0ByMNEPAPpOR5H69DVrTNy
94,3whuHq0yGx60atvA2RCVRW,2SVQxudiW2vmKedCf41Isd
95,5EvFsr3kj42KNv97ZEnqij,2SVQxudiW2vmKedCf41Isd
96,3whuHq0yGx60atvA2RCVRW,0Nkt36AVGOmfV1cJmFr74P
97,1Bk2KyFVMN5PeyVyDIiLqF,0Nkt36AVGOmfV1cJmFr74P
98,7hJcb9fa4alzcOq3EaNPoG,0Nkt36AVGOmfV1cJmFr74P
99,3WrFJ7ztbogyGnTHbHJFl2,7DD7eSuYSC5xk2ArU62esN
100,3WrFJ7ztbogyGnTHbHJFl2,25yQPHgC35WNnnOUqFhgVR
101,3WrFJ7ztbogyGnTHbHJFl2,0BowNHHxtXVyLMXxS31LBe
102,3WrFJ7ztbogyGnTHbHJFl2,5GjPQ0eI7AgmOnADn1EO6Q
103,3WrFJ7ztbogyGnTHbHJFl2,4pbG9SUmWIvsROVLF0zF9s
104,3WrFJ7ztbogyGnTHbHJFl2,1sjmKmR4u9xDeJHjDCn2bZ
105,3WrFJ7ztbogyGnTHbHJFl2,3Am0IbOxmvlSXro7N5iSfZ
106,3WrFJ7ztbogyGnTHbHJFl2,5ZBeML7Lf3FMEVviTyvi8l
107,3WrFJ7ztbogyGnTHbHJFl2,6dGnYIeXmHdcikdzNNDMm2
108,3WrFJ7ztbogyGnTHbHJFl2,48JM82SHQTBYkhEYhMaOaa
109,7MhMgCo0Bl0Kukl93PZbYS,4vnYwFOZCVl0bmerWyuzRw
110,7MhMgCo0Bl0Kukl93PZbYS,3mqRLlD9j92BBv1ueFhJ1l
111,7MhMgCo0Bl0Kukl93PZbYS,5CeL9C3bsoe4yzYS1Qz8cw
112,2DaxqgrOhkeH0fpeiQq2f4,7ppPZa3TRUSGKaks9wH7VT
113,4QQgXkCYTt3BlENzhyNETg,2grjqo0Frpf2okIBiifQKs
114,7rZNSLWMjTbwdLNskFbzFf,1ctdfJSzp6qF2iDAVdDrfl
