,external_urls,href,id,name,type,uri,country
21,https://open.spotify.com/artist/74XFHRwlV6OrjEM0A2NCMF,https://api.spotify.com/v1/artists/74XFHRwlV6OrjEM0A2NCMF,74XFHRwlV6OrjEM0A2NCMF,Paramore,artist,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,United States
22,https://open.spotify.com/artist/22RISwgVJyZu9lpqAcv1F5,https://api.spotify.com/v1/artists/22RISwgVJyZu9lpqAcv1F5,22RISwgVJyZu9lpqAcv1F5,Blossoms,artist,spotify:artist:22RISwgVJyZu9lpqAcv1F5,United Kingdom
23,https://open.spotify.com/artist/7GlBOeep6PqTfFi59PTUUN,https://api.spotify.com/v1/artists/7GlBOeep6PqTfFi59PTUUN,7GlBOeep6PqTfFi59PTUUN,Chappell Roan,artist,spotify:artist:7GlBOeep6PqTfFi59PTUUN,United States
24,https://open.spotify.com/artist/0LbLWjaweRbO4FDKYlbfNt,https://api.spotify.com/v1/artists/0LbLWjaweRbO4FDKYlbfNt,0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs,artist,spotify:artist:0LbLWjaweRbO4FDKYlbfNt,United Kingdom
25,https://open.spotify.com/artist/3M4ThdJR28z9eSMcQHAZ5G,https://api.spotify.com/v1/artists/3M4ThdJR28z9eSMcQHAZ5G,3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,artist,spotify:artist:3M4ThdJR28z9eSMcQHAZ5G,United Kingdom
26,https://open.spotify.com/artist/11wRdbnoYqRddKBrpHt4Ue,https://api.spotify.com/v1/artists/11wRdbnoYqRddKBrpHt4Ue,11wRdbnoYqRddKBrpHt4Ue,Kasabian,artist,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,United Kingdom
27,https://open.spotify.com/artist/3f5W9NEwkc1SAIPFuumcaf,https://api.spotify.com/v1/artists/3f5W9NEwkc1SAIPFuumcaf,3f5W9NEwkc1SAIPFuumcaf,Jamelia,artist,spotify:artist:3f5W9NEwkc1SAIPFuumcaf,United Kingdom
28,https://open.spotify.com/artist/7FBcuc1gsnv6Y1nwFtNRCb,https://api.spotify.com/v1/artists/7FBcuc1gsnv6Y1nwFtNRCb,7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,artist,spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb,United States
29,https://open.spotify.com/artist/6zFYqv1mOsgBRQbae3JJ9e,https://api.spotify.com/v1/artists/6zFYqv1mOsgBRQbae3JJ9e,6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,artist,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,United States
30,https://open.spotify.com/artist/0DR4z5jMA1eqx0CmHBUpkr,https://api.spotify.com/v1/artists/0DR4z5jMA1eqx0CmHBUpkr,0DR4z5jMA1eqx0CmHBUpkr,DJ Ötzi,artist,spotify:artist:0DR4z5jMA1eqx0CmHBUpkr,Austria
31,https://open.spotify.com/artist/536BYVgOnRky0xjsPT96zl,https://api.spotify.com/v1/artists/536BYVgOnRky0xjsPT96zl,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,artist,spotify:artist:536BYVgOnRky0xjsPT96zl,Northern Ireland
32,https://open.spotify.com/artist/1dWEYMPtNmvSVaDNLgB6NV,https://api.spotify.com/v1/artists/1dWEYMPtNmvSVaDNLgB6NV,1dWEYMPtNmvSVaDNLgB6NV,Saint Motel,artist,spotify:artist:1dWEYMPtNmvSVaDNLgB6NV,United States
33,https://open.spotify.com/artist/3kVUvbeRdcrqQ3oHk5hPdx,https://api.spotify.com/v1/artists/3kVUvbeRdcrqQ3oHk5hPdx,3kVUvbeRdcrqQ3oHk5hPdx,GROUPLOVE,artist,spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx,United States
34,https://open.spotify.com/artist/7A9yZMTrFZcgEWAX2kBfK6,https://api.spotify.com/v1/artists/7A9yZMTrFZcgEWAX2kBfK6,7A9yZMTrFZcgEWAX2kBfK6,Huey Lewis & The News,artist,spotify:artist:7A9yZMTrFZcgEWAX2kBfK6,United States
35,https://open.spotify.com/artist/59oA5WbbQvomJz2BuRG071,https://api.spotify.com/v1/artists/59oA5WbbQvomJz2BuRG071,59oA5WbbQvomJz2BuRG071,Jungle,artist,spotify:artist:59oA5WbbQvomJz2BuRG071,United Kingdom
36,https://open.spotify.com/artist/29WzbAQtDnBJF09es0uddn,https://api.spotify.com/v1/artists/29WzbAQtDnBJF09es0uddn,29WzbAQtDnBJF09es0uddn,Corinne Bailey Rae,artist,spotify:artist:29WzbAQtDnBJF09es0uddn,United Kingdom
37,https://open.spotify.com/artist/3mY9Ii0cL5SQxpOTAm8SHx,https://api.spotify.com/v1/artists/3mY9Ii0cL5SQxpOTAm8SHx,3mY9Ii0cL5SQxpOTAm8SHx,Warren Zevon,artist,spotify:artist:3mY9Ii0cL5SQxpOTAm8SHx,United States
38,https://open.spotify.com/artist/7jefIIksOi1EazgRTfW2Pk,https://api.spotify.com/v1/artists/7jefIIksOi1EazgRTfW2Pk,7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,artist,spotify:artist:7jefIIksOi1EazgRTfW2Pk,United Kingdom
39,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,3PhoLpVuITZKcymswpck5b,Elton John,artist,spotify:artist:3PhoLpVuITZKcymswpck5b,United Kingdom
40,https://open.spotify.com/artist/3oIj2x6uKeZSe9Bprnt4TX,https://api.spotify.com/v1/artists/3oIj2x6uKeZSe9Bprnt4TX,3oIj2x6uKeZSe9Bprnt4TX,Remember Monday,artist,spotify:artist:3oIj2x6uKeZSe9Bprnt4TX,United Kingdom
41,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,artist,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,United States
42,https://open.spotify.com/artist/7gOdHgIoIKoe4i9Tta6qdD,https://api.spotify.com/v1/artists/7gOdHgIoIKoe4i9Tta6qdD,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,artist,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,United States
43,https://open.spotify.com/artist/5T0MSzX9RC5NA6gAI6irSn,https://api.spotify.com/v1/artists/5T0MSzX9RC5NA6gAI6irSn,5T0MSzX9RC5NA6gAI6irSn,Estelle,artist,spotify:artist:5T0MSzX9RC5NA6gAI6irSn,United Kingdom
44,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,artist,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,United States
45,https://open.spotify.com/artist/4Rxn7Im3LGfyRkY2FlHhWi,https://api.spotify.com/v1/artists/4Rxn7Im3LGfyRkY2FlHhWi,4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas,artist,spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi,United States
46,https://open.spotify.com/artist/1G9G7WwrXka3Z1r7aIDjI7,https://api.spotify.com/v1/artists/1G9G7WwrXka3Z1r7aIDjI7,1G9G7WwrXka3Z1r7aIDjI7,Outkast,artist,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,United States
47,https://open.spotify.com/artist/5qiLLUOcfPrzP1P1vHcgnS,https://api.spotify.com/v1/artists/5qiLLUOcfPrzP1P1vHcgnS,5qiLLUOcfPrzP1P1vHcgnS,The Next Step,artist,spotify:artist:5qiLLUOcfPrzP1P1vHcgnS,
48,https://open.spotify.com/artist/69ftfICho7bWPjTg6EgHr4,https://api.spotify.com/v1/artists/69ftfICho7bWPjTg6EgHr4,69ftfICho7bWPjTg6EgHr4,Andrew Austin,artist,spotify:artist:69ftfICho7bWPjTg6EgHr4,Canada
49,https://open.spotify.com/artist/2D4FOOOtWycb3Aw9nY5n3c,https://api.spotify.com/v1/artists/2D4FOOOtWycb3Aw9nY5n3c,2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,artist,spotify:artist:2D4FOOOtWycb3Aw9nY5n3c,United Kingdom
50,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,artist,spotify:artist:1HY2Jd0NmPuamShAr6KMms,United States
51,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB,https://api.spotify.com/v1/artists/3nFkdlSjzX9mRTtwJOzDYB,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,artist,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,United States
52,https://open.spotify.com/artist/4fwuXg6XQHfdlOdmw36OHa,https://api.spotify.com/v1/artists/4fwuXg6XQHfdlOdmw36OHa,4fwuXg6XQHfdlOdmw36OHa,Paloma Faith,artist,spotify:artist:4fwuXg6XQHfdlOdmw36OHa,United Kingdom
53,https://open.spotify.com/artist/68EB3QvNdVLkC7SAgDbHIR,https://api.spotify.com/v1/artists/68EB3QvNdVLkC7SAgDbHIR,68EB3QvNdVLkC7SAgDbHIR,Marianas Trench,artist,spotify:artist:68EB3QvNdVLkC7SAgDbHIR,Canada
54,https://open.spotify.com/artist/2feDdbD5araYcm6JhFHHw7,https://api.spotify.com/v1/artists/2feDdbD5araYcm6JhFHHw7,2feDdbD5araYcm6JhFHHw7,Labrinth,artist,spotify:artist:2feDdbD5araYcm6JhFHHw7,United Kingdom
55,https://open.spotify.com/artist/0Tob4H0FLtEONHU1MjpUEp,https://api.spotify.com/v1/artists/0Tob4H0FLtEONHU1MjpUEp,0Tob4H0FLtEONHU1MjpUEp,Tinie Tempah,artist,spotify:artist:0Tob4H0FLtEONHU1MjpUEp,United Kingdom
57,https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,6FBDaR13swtiWwGhX1WQsP,blink-182,artist,spotify:artist:6FBDaR13swtiWwGhX1WQsP,United States
58,https://open.spotify.com/artist/5zzrJD2jXrE9dZ1AklRFcL,https://api.spotify.com/v1/artists/5zzrJD2jXrE9dZ1AklRFcL,5zzrJD2jXrE9dZ1AklRFcL,KT Tunstall,artist,spotify:artist:5zzrJD2jXrE9dZ1AklRFcL,United Kingdom
59,https://open.spotify.com/artist/4kI8Ie27vjvonwaB2ePh8T,https://api.spotify.com/v1/artists/4kI8Ie27vjvonwaB2ePh8T,4kI8Ie27vjvonwaB2ePh8T,Portugal. The Man,artist,spotify:artist:4kI8Ie27vjvonwaB2ePh8T,United States
60,https://open.spotify.com/artist/1moxjboGR7GNWYIMWsRjgG,https://api.spotify.com/v1/artists/1moxjboGR7GNWYIMWsRjgG,1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,artist,spotify:artist:1moxjboGR7GNWYIMWsRjgG,England
61,https://open.spotify.com/artist/2NhdGz9EDv2FeUw6udu2g1,https://api.spotify.com/v1/artists/2NhdGz9EDv2FeUw6udu2g1,2NhdGz9EDv2FeUw6udu2g1,The Wanted,artist,spotify:artist:2NhdGz9EDv2FeUw6udu2g1,United Kingdom
62,https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY,https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY,7CajNmpbOovFoOoasH2HaY,Calvin Harris,artist,spotify:artist:7CajNmpbOovFoOoasH2HaY,Scotland
63,https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ,https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ,0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,artist,spotify:artist:0X2BH1fck6amBIoJhDVmmJ,United Kingdom
64,https://open.spotify.com/artist/2YNsq8GNCQdXpFmoMbVEat,https://api.spotify.com/v1/artists/2YNsq8GNCQdXpFmoMbVEat,2YNsq8GNCQdXpFmoMbVEat,Zach Sorgen,artist,spotify:artist:2YNsq8GNCQdXpFmoMbVEat,
65,https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx,https://api.spotify.com/v1/artists/3YQKmKGau1PzlVlkL1iodx,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,artist,spotify:artist:3YQKmKGau1PzlVlkL1iodx,United States
66,https://open.spotify.com/artist/7G1GBhoKtEPnP86X2PvEYO,https://api.spotify.com/v1/artists/7G1GBhoKtEPnP86X2PvEYO,7G1GBhoKtEPnP86X2PvEYO,Nina Simone,artist,spotify:artist:7G1GBhoKtEPnP86X2PvEYO,United States
67,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,6vWDO969PvNqNYHIOW5v0m,Beyoncé,artist,spotify:artist:6vWDO969PvNqNYHIOW5v0m,United States
68,https://open.spotify.com/artist/3whuHq0yGx60atvA2RCVRW,https://api.spotify.com/v1/artists/3whuHq0yGx60atvA2RCVRW,3whuHq0yGx60atvA2RCVRW,Olly Murs,artist,spotify:artist:3whuHq0yGx60atvA2RCVRW,United Kingdom
69,https://open.spotify.com/artist/5EvFsr3kj42KNv97ZEnqij,https://api.spotify.com/v1/artists/5EvFsr3kj42KNv97ZEnqij,5EvFsr3kj42KNv97ZEnqij,Shaggy,artist,spotify:artist:5EvFsr3kj42KNv97ZEnqij,Jamaica
70,https://open.spotify.com/artist/1Bk2KyFVMN5PeyVyDIiLqF,https://api.spotify.com/v1/artists/1Bk2KyFVMN5PeyVyDIiLqF,1Bk2KyFVMN5PeyVyDIiLqF,Lady Leshurr,artist,spotify:artist:1Bk2KyFVMN5PeyVyDIiLqF,United Kingdom
71,https://open.spotify.com/artist/7hJcb9fa4alzcOq3EaNPoG,https://api.spotify.com/v1/artists/7hJcb9fa4alzcOq3EaNPoG,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,artist,spotify:artist:7hJcb9fa4alzcOq3EaNPoG,United States
72,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,artist,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,United Kingdom
73,https://open.spotify.com/artist/7MhMgCo0Bl0Kukl93PZbYS,https://api.spotify.com/v1/artists/7MhMgCo0Bl0Kukl93PZbYS,7MhMgCo0Bl0Kukl93PZbYS,Blur,artist,spotify:artist:7MhMgCo0Bl0Kukl93PZbYS,United Kingdom
74,https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4,https://api.spotify.com/v1/artists/2DaxqgrOhkeH0fpeiQq2f4,2DaxqgrOhkeH0fpeiQq2f4,Oasis,artist,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,United Kingdom
75,https://open.spotify.com/artist/4QQgXkCYTt3BlENzhyNETg,https://api.spotify.com/v1/artists/4QQgXkCYTt3BlENzhyNETg,4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",artist,spotify:artist:4QQgXkCYTt3BlENzhyNETg,United States
76,https://open.spotify.com/artist/7rZNSLWMjTbwdLNskFbzFf,https://api.spotify.com/v1/artists/7rZNSLWMjTbwdLNskFbzFf,7rZNSLWMjTbwdLNskFbzFf,Sugababes,artist,spotify:artist:7rZNSLWMjTbwdLNskFbzFf,United Kingdom
77,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,Taylor Swift,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02,United States
78,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X,https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X,6jJ0s89eD6GaHleKKya26X,Katy Perry,artist,spotify:artist:6jJ0s89eD6GaHleKKya26X,United States
79,https://open.spotify.com/artist/2wpJOPmf1TIOzrB9mzHifd,https://api.spotify.com/v1/artists/2wpJOPmf1TIOzrB9mzHifd,2wpJOPmf1TIOzrB9mzHifd,Scouting For Girls,artist,spotify:artist:2wpJOPmf1TIOzrB9mzHifd,United Kingdom
80,https://open.spotify.com/artist/5WWSL6rElJeUk3Uc1S2RyD,https://api.spotify.com/v1/artists/5WWSL6rElJeUk3Uc1S2RyD,5WWSL6rElJeUk3Uc1S2RyD,Dead Or Alive,artist,spotify:artist:5WWSL6rElJeUk3Uc1S2RyD,United Kingdom
81,https://open.spotify.com/artist/4yiQZ8tQPux8cPriYMWUFP,https://api.spotify.com/v1/artists/4yiQZ8tQPux8cPriYMWUFP,4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,artist,spotify:artist:4yiQZ8tQPux8cPriYMWUFP,United States
82,https://open.spotify.com/artist/0z4gvV4rjIZ9wHck67ucSV,https://api.spotify.com/v1/artists/0z4gvV4rjIZ9wHck67ucSV,0z4gvV4rjIZ9wHck67ucSV,Akon,artist,spotify:artist:0z4gvV4rjIZ9wHck67ucSV,Senegal
83,https://open.spotify.com/artist/2FXC3k01G6Gw61bmprjgqS,https://api.spotify.com/v1/artists/2FXC3k01G6Gw61bmprjgqS,2FXC3k01G6Gw61bmprjgqS,Hozier,artist,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Ireland
